n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.27433629001578314,140.02588375376374,1.700768095038443
3,0.294057003432284,154.91926024174603,1.5266809404768669
4,0.29515289960685787,149.725864712388,1.4303753161619344
5,0.31824477334411233,166.39089841448975,1.3169265382877757
6,0.3147711379978516,171.45761813400108,1.2290528001076082
7,0.32961199420629267,173.15004265884332,1.1860714443835245
8,0.3434118913829275,179.36524017871602,1.1144469522341733
9,0.2903891648492088,177.49059333513043,1.1261650489052464
10,0.2958121859054536,170.29107079506974,1.120353207578654
11,0.3233679048662701,182.88831188759642,1.0611767344720064
12,0.3282856028947082,178.37410366898092,1.1176259050263397
13,0.339162569567204,175.6683062045412,1.1178718694617247
14,0.34332670905132034,168.47650711639994,1.1193087692266106
15,0.3261831521906824,160.37798770868264,1.157738941069444
