n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.4443663575717698,326.4585096752028,1.0905251175484056
3,0.46329579086691725,452.49344954750023,0.9385032605776589
4,0.5160502452637221,611.4835726436911,0.7956414879927949
5,0.5206387678625165,527.5481932896959,0.7759517534925316
6,0.4271060654035786,592.8263784556358,0.8383843288075451
7,0.4369723721482694,601.3182141499929,0.880286069628348
8,0.44832976048365414,616.482718765525,0.847366777973716
9,0.4287516525291008,620.8982354597268,0.87893111642105
10,0.3780252543336891,589.9073847938323,0.9292865415231546
11,0.3798376255801827,572.8237430468861,1.0126447715357871
12,0.3960760616499378,548.0002946565195,0.972598983114373
13,0.403213596396696,546.4206862841066,0.9160295044849391
14,0.4004879496908863,533.9665388368543,0.9771938001226538
15,0.40854634065132306,529.3071147974041,0.9545901380665797
