n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.08334150218057781,35.720630322657534,3.4727718241394507
3,0.08580564392604864,35.935865906512944,3.2380622818463483
4,0.07978306777806882,30.71045371226351,3.187141461536614
5,0.07230218446032786,27.962812163328252,3.149079653632303
6,0.07408761236640586,26.051909493115335,3.078572197268867
7,0.07657968857293421,24.62166027344281,2.9824058196640526
8,0.06111153615169629,19.749766083045834,2.4522153441174623
9,0.062338648618987774,19.765383417483946,2.477997843356467
10,0.06127144431032763,19.24827715378275,2.5885383720701114
11,0.06416733234674676,18.541799502719304,2.528823909310567
12,0.06413786348732543,17.507006670322493,2.560194778389331
13,0.06471211199354945,16.406631109044092,2.40012791014571
14,0.0674063162420421,15.940539147080226,2.419376219494787
15,0.06767750077368123,15.372523155196575,2.4379143670174486
