n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.3934740761182897,256.02141412248176,1.2676781197958773
3,0.39688282282096476,283.0922213593327,1.1078350514254038
4,0.4322762401705372,383.64445473722566,0.9650476970215625
5,0.3093497117998922,366.88691177857834,1.1471352183932788
6,0.31602656992049055,342.29075830973704,1.1959039231665531
7,0.3303108142710512,341.0073686302996,1.1142192522153236
8,0.344763842919106,329.6427708427208,1.0832025755362216
9,0.36136019787575235,333.36623607361975,1.0500589145480947
10,0.3686966297287021,323.00879602978614,1.0627328745368878
11,0.3406829765420766,286.4240650904739,1.2647827291914506
12,0.3552675320993395,288.69741391190666,1.127551223830982
13,0.35673817458723944,278.0386143944412,1.1098650771941623
14,0.35924744941613007,281.7544229036877,1.116173660569046
15,0.3551540162540977,279.0215115283934,1.0930426435656344
