n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.5140061733233864,447.9062510542982,0.915974944301742
3,0.545512058119149,715.6950008566114,0.7701463339400768
4,0.47761959617587013,868.9571768723238,0.7566653250917885
5,0.3699604360690969,757.623366918528,0.9212627449895445
6,0.3696907502897805,715.4807248944405,0.9967531255760269
7,0.3855980035591248,734.9098223752528,0.9021158138199344
8,0.41515458948165507,852.4340465369057,0.8529901041632031
9,0.4177613327328294,824.8469898319527,0.8676244169330071
10,0.4210795735222447,805.977516130001,0.9061635739838231
11,0.4184412285735841,772.9607891534146,0.9090181024979408
12,0.42613791980194,760.3987909264941,0.8937861337293384
13,0.4161738647528176,719.6268956303485,0.9960696843033136
14,0.3628467579420143,736.10812398014,1.0037082456358137
15,0.3668876775060341,721.9989317231897,1.004306221020206
